App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current_Ver,Android_Ver
MCB,ART_AND_DESIGN,4.6,4326,21.0,100000.0,Free,0.0,Everyone,Art & Design,2018-06-26,0.0,4.4 and up
3CPBN-SAC,ART_AND_DESIGN,4.4,1518,37.0,100000.0,Free,0.0,Everyone,Art & Design,2018-08-03,0.0,2.3 and up
PD-WYNWS,ART_AND_DESIGN,4.7,3632,5.5,500000.0,Free,0.0,Everyone,Art & Design,2018-07-31,3.1,4.1 and up
3DRDI,ART_AND_DESIGN,4.5,27,17.0,10000.0,Free,0.0,Everyone,Art & Design,2017-11-07,1.0,2.3 and up
F-CA,ART_AND_DESIGN,4.3,194216,39.0,5000000.0,Free,0.0,Everyone,Art & Design,2018-08-03,0.0,4.0.3 and up
ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,10000000.0,Free,0.0,Everyone,Art & Design,2018-07-30,0.0,4.1 and up
LM-SB,ART_AND_DESIGN,4.0,450,14.0,100000.0,Free,0.0,Everyone,Art & Design,2018-04-20,4.0,4.1 and up
BPE-SP&MS,ART_AND_DESIGN,4.1,654,12.0,100000.0,Free,0.0,Everyone,Art & Design,2018-03-20,1.1,4.0.3 and up
SW|4B,ART_AND_DESIGN,4.7,7699,4.2,500000.0,Free,0.0,Everyone 10+,Art & Design,2018-07-12,0.0,4.0.3 and up
HMMW,ART_AND_DESIGN,4.7,118,23.0,50000.0,Free,0.0,Everyone,Art & Design,2018-07-07,0.0,4.1 and up
HQWH,ART_AND_DESIGN,4.8,192,6.0,10000.0,Free,0.0,Everyone,Art & Design,2018-04-25,1.5,3.0 and up
C-D&C,ART_AND_DESIGN,4.7,20260,25.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,2017-10-11,0.0,4.0.3 and up
APE,ART_AND_DESIGN,4.1,203,6.1,100000.0,Free,0.0,Everyone,Art & Design,2018-03-21,1.03,4.0.3 and up
PSD,ART_AND_DESIGN,3.9,136,4.6,10000.0,Free,0.0,Everyone,Art & Design,2018-07-12,6.0,2.3 and up
ERDT,ART_AND_DESIGN,4.1,223,4.2,100000.0,Free,0.0,Everyone,Art & Design,2017-08-22,1.0,2.3 and up
PSBKT,ART_AND_DESIGN,4.2,1120,9.2,100000.0,Free,0.0,Everyone,Art & Design,2018-07-12,0.0,4.0.3 and up
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000.0,Free,0.0,Everyone,Art & Design,2018-05-31,1.2,2.3 and up
AMCB,ART_AND_DESIGN,4.5,5035,11.0,100000.0,Free,0.0,Everyone,Art & Design,2018-07-19,2.2,4.0 and up
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000.0,Free,0.0,Everyone,Art & Design,2018-01-06,0.0,4.1 and up
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000.0,Free,0.0,Teen,Art & Design,2018-04-27,1.6,4.1 and up
HTDLACN,ART_AND_DESIGN,3.8,564,9.2,100000.0,Free,0.0,Everyone,Art & Design,2018-07-11,2.1,4.1 and up
U-CBN&PAC,ART_AND_DESIGN,4.7,8145,24.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,2018-08-02,0.0,4.4 and up
PC-PCM,ART_AND_DESIGN,4.7,158,11.0,10000.0,Free,0.0,Everyone,Art & Design,2017-11-29,1.3,4.0.3 and up
HTCDP-CP,ART_AND_DESIGN,4.0,591,9.4,500000.0,Free,0.0,Everyone,Art & Design,2018-03-31,1.0,4.0 and up
DCFI,ART_AND_DESIGN,4.2,117,15.0,10000.0,Free,0.0,Everyone,Art & Design,2018-07-20,0.0,4.0.3 and up
SPPF2,ART_AND_DESIGN,4.5,176,10.0,100000.0,Free,0.0,Everyone,Art & Design,2018-04-02,1.0,4.0.3 and up
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000.0,Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1 and up
PSASDCI,ART_AND_DESIGN,4.2,26,12.0,10000.0,Free,0.0,Everyone,Art & Design,2018-01-03,0.0,4.1 and up
CPBCM&GD,ART_AND_DESIGN,4.7,174531,24.0,10000000.0,Free,0.0,Everyone,Art & Design,2018-07-31,0.0,4.1 and up
IIWMTMVWN-2,ART_AND_DESIGN,4.6,1070,26.0,100000.0,Free,0.0,Everyone,Art & Design,2017-11-14,1.6,4.1 and up
LTBCBG,ART_AND_DESIGN,4.2,85,8.0,100000.0,Free,0.0,Everyone,Art & Design,2017-12-17,0.0,4.1 and up
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000.0,Free,0.0,Everyone,Art & Design,2018-05-28,1.0,2.3 and up
MTS32,AUTO_AND_VEHICLES,4.2,367,25.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0.3 and up
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1 and up
UFRC,AUTO_AND_VEHICLES,3.8,284,57.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up
AMCR,AUTO_AND_VEHICLES,3.9,129,35.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up
OOTDTT2,AUTO_AND_VEHICLES,4.3,542,33.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1 and up
TS2AEFTSTSIWD,AUTO_AND_VEHICLES,4.9,10479,33.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-18,0.0,4.0 and up
GP(O,AUTO_AND_VEHICLES,4.4,805,5.6,50000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,0.0,4.4 and up
ERC,AUTO_AND_VEHICLES,4.2,129,54.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2014-08-26,0.0,2.2 and up
R-CTRFIASV,AUTO_AND_VEHICLES,3.9,3971,3.6,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4 and up
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-08,0.0,4.0.3 and up
CPT2E,AUTO_AND_VEHICLES,4.9,7774,17.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up
E(BIMTRT,AUTO_AND_VEHICLES,4.3,38846,8.6,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2.2002,4.1 and up
FVRFUC,AUTO_AND_VEHICLES,4.6,2431,2.4,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up
DPPT2E,AUTO_AND_VEHICLES,4.9,6090,27.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.0,4.4 and up
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000.0,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3 and up
UCFS-T,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-16,0.0,4.0.3 and up
FOTSTSIAOIPOF,AUTO_AND_VEHICLES,4.8,116986,35.0,5000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,0.0,4.0.3 and up
SEDM-UCS,AUTO_AND_VEHICLES,3.6,1379,16.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,0.0,4.2 and up
AA-MMM&V,AUTO_AND_VEHICLES,4.2,271920,16.0,10000000.0,Free,0.0,Teen,Auto & Vehicles,2018-07-11,0.0,5.0 and up
TS2+ER,AUTO_AND_VEHICLES,4.8,7021,17.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0 and up
SCWAB,AUTO_AND_VEHICLES,4.6,197,3.4,50000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0 and up
PLS&FM,AUTO_AND_VEHICLES,4.5,737,8.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-08,0.0,4.1 and up
PD(CR,AUTO_AND_VEHICLES,4.3,3574,3.9,1000000.0,Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0 and up
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up
T+P2E,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1 and up
PYPG,AUTO_AND_VEHICLES,3.9,142,32.0,50000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-24,0.0,6.0 and up
PB&SC,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,0.0,4.2 and up
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.0,5.0 and up
SCD-T&SA,AUTO_AND_VEHICLES,4.3,138,5.4,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3 and up
UCSGNWCGTN,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,0.0,4.4 and up
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,0.0,2.3 and up
R-SOCOTP,AUTO_AND_VEHICLES,3.2,250,1.1,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3 and up
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,0.0,4.1 and up
SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,0.0,4.0.3 and up
auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.4,4.0.3 and up
UCITFC-UCPUCQDIT,AUTO_AND_VEHICLES,4.6,5097,19.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,0.0,4.0.3 and up
AOTPL-NPA(LS/PS/DP,AUTO_AND_VEHICLES,4.0,1754,14.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-02,0.0,4.0 and up
IFADOV,AUTO_AND_VEHICLES,4.4,2680,2.2,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0.3 and up
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0 and up
H-BFE,BEAUTY,4.7,18900,17.0,500000.0,Free,0.0,Everyone,Beauty,2018-08-02,0.0,5.0 and up
IMBAT,BEAUTY,4.9,49790,14.0,1000000.0,Free,0.0,Everyone,Beauty,2017-11-09,0.0,4.1 and up
NRFYB,BEAUTY,4.7,1150,9.8,100000.0,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1 and up
BSBCPE,BEAUTY,3.9,1739,21.0,500000.0,Free,0.0,Everyone,Beauty,2018-07-12,0.0,4.0.3 and up
Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000.0,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1 and up
HSBS,BEAUTY,4.6,4369,14.0,100000.0,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000.0,Free,0.0,Everyone,Beauty,2018-05-10,0.0,4.0 and up
T-ABH,BEAUTY,4.7,964,9.0,50000.0,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2 and up
Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000.0,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3 and up
SSBC,BEAUTY,4.3,601,35.0,100000.0,Free,0.0,Everyone,Beauty,2018-06-02,0.0,4.0 and up
COWIU,BEAUTY,4.5,36,6.7,10000.0,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0 and up
SCPE&F&S,BEAUTY,4.1,187,30.0,50000.0,Free,0.0,Teen,Beauty,2018-07-24,0.0,4.0.3 and up
EMBT,BEAUTY,4.2,30,2.9,10000.0,Free,0.0,Everyone,Beauty,2018-04-09,0.0,4.0.3 and up
Photo Editor 2018,BEAUTY,4.5,134,17.0,10000.0,Free,0.0,Everyone,Beauty,2018-03-01,1.2,4.0.3 and up
SBSEMT,BEAUTY,4.4,74,2.9,10000.0,Free,0.0,Everyone,Beauty,2018-04-05,0.0,4.0.3 and up
MC(+SC,BEAUTY,4.1,9315,2.6,1000000.0,Free,0.0,Everyone,Beauty,2017-11-21,0.0,4.0 and up
BT-BTIS,BEAUTY,4.4,75,4.2,50000.0,Free,0.0,Everyone,Beauty,2017-10-18,0.0,4.0.3 and up
HTV,BEAUTY,4.6,38,7.1,10000.0,Free,0.0,Everyone,Beauty,2018-05-29,1.0,4.0 and up
SSCBM&FS,BEAUTY,4.5,26834,57.0,1000000.0,Free,0.0,Everyone,Beauty,2018-07-24,18.5,5.0 and up
SC-SFBC,BEAUTY,3.9,2277,22.0,500000.0,Free,0.0,Everyone,Beauty,2018-07-12,0.0,4.0.3 and up
Filters for B Live,BEAUTY,4.4,2280,24.0,500000.0,Free,0.0,Everyone,Beauty,2018-05-14,0.0,4.0 and up
FWR,BEAUTY,4.6,184,21.0,10000.0,Free,0.0,Everyone,Beauty,2018-07-02,1.5,4.1 and up
Makeup Videos,BEAUTY,3.8,9,3.4,5000.0,Free,0.0,Everyone,Beauty,2018-06-07,1.0,4.0 and up
Discover Color,BEAUTY,4.0,364,6.4,100000.0,Free,0.0,Everyone,Beauty,2018-05-24,1.1,4.0.3 and up
ESBS2,BEAUTY,4.3,18,3.2,5000.0,Free,0.0,Everyone,Beauty,2018-06-01,0.0,4.0.3 and up
DI&F+,BEAUTY,4.5,473,8.2,100000.0,Free,0.0,Mature 17+,Beauty,2017-03-01,0.0,1.6 and up
SBSHFW,BEAUTY,4.1,66,2.9,10000.0,Free,0.0,Everyone,Beauty,2018-04-05,0.0,4.0.3 and up
Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000.0,Free,0.0,Everyone,Beauty,2018-07-30,0.0,4.0 and up
MOTW,BEAUTY,4.7,257,4.6,50000.0,Free,0.0,Everyone,Beauty,2017-08-07,1.0,4.0.3 and up
GH2,BEAUTY,4.2,62,3.1,10000.0,Free,0.0,Everyone,Beauty,2018-05-28,0.0,4.0.3 and up
ER-RBFF,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000.0,Free,0.0,Everyone,Books & Reference,2018-08-03,0.0,4.4 and up
DFBWGB,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000.0,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,1.1,4.0 and up
FPRM,BOOKS_AND_REFERENCE,4.5,418,4.2,100000.0,Free,0.0,Everyone,Books & Reference,2018-03-27,2.1,4.1 and up
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000.0,Free,0.0,Teen,Books & Reference,2018-06-06,0.0,4.0 and up
EGCH,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000.0,Free,0.0,Everyone,Books & Reference,2018-01-21,1.0,4.0 and up
FB-SFAS,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000.0,Free,0.0,Teen,Books & Reference,2018-08-01,0.0,4.0.3 and up
A-TBR,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000.0,Free,0.0,Everyone,Books & Reference,2018-05-27,1.91180527,2.3 and up
OED,BOOKS_AND_REFERENCE,4.2,860,13.0,100000.0,Free,0.0,Everyone,Books & Reference,2018-07-17,1.0,4.0.3 and up
ODOE:F,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000.0,Free,0.0,Everyone,Books & Reference,2018-07-11,0.0,4.1 and up
OETTD,BOOKS_AND_REFERENCE,4.7,967,6.7,500000.0,Free,0.0,Everyone,Books & Reference,2018-08-04,0.0,4.0.3 and up
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-20,0.0,4.1 and up
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-04-27,0.0,4.1 and up
ROPMFF,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000.0,Free,0.0,Everyone,Books & Reference,2018-05-17,15.0,2.3 and up
R–FER,BOOKS_AND_REFERENCE,4.8,47303,21.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-06-02,0.0,4.1 and up
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000.0,Free,0.0,Everyone,Books & Reference,2018-06-25,0.0,4.0 and up
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,100000.0,Free,0.0,Teen,Books & Reference,2018-07-04,0.0,4.0 and up
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23.0,5000000.0,Free,0.0,Mature 17+,Books & Reference,2018-06-29,3.12,4.1 and up
ETUD,BOOKS_AND_REFERENCE,4.6,4620,19.0,500000.0,Free,0.0,Everyone,Books & Reference,2017-11-23,2.0,4.0.3 and up
EBRFEZ,BOOKS_AND_REFERENCE,4.7,21336,23.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-06-20,1.28,3.0 and up
EPD,BOOKS_AND_REFERENCE,4.5,26875,73.0,500000.0,Free,0.0,Everyone,Books & Reference,2018-08-01,0.0,4.0.3 and up
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000.0,Free,0.0,Mature 17+,Books & Reference,2014-10-16,0.0,2.1 and up
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-11,1.9,4.4 and up
ETFB,BOOKS_AND_REFERENCE,4.5,527,2.9,100000.0,Free,0.0,Everyone,Books & Reference,2018-03-31,14.0,4.0 and up
PBD-RPB,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000.0,Free,0.0,Everyone,Books & Reference,2018-05-28,6.0,4.0.3 and up
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000.0,Free,0.0,Everyone,Books & Reference,2016-08-20,3.05,4.0.3 and up
ENRFFEZB,BOOKS_AND_REFERENCE,4.9,2739,21.0,50000.0,Free,0.0,Everyone,Books & Reference,2018-07-17,2.0,3.0 and up
O3DIETGIG,BOOKS_AND_REFERENCE,4.6,1065,2.3,500000.0,Free,0.0,Everyone,Books & Reference,2018-06-16,1.5,3.0 and up
ED,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-28,0.0,4.0 and up
GD(,BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-19,0.0,4.2 and up
ALTF,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-29,1.15,4.0.3 and up
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000.0,Free,0.0,Everyone,Books & Reference,2018-02-15,0.0,2.2 and up
ED-O,BOOKS_AND_REFERENCE,4.4,341157,30.0,10000000.0,Free,0.0,Everyone 10+,Books & Reference,2018-03-20,0.0,4.2 and up
ADP Mobile Solutions,BUSINESS,4.3,85185,29.0,5000000.0,Free,0.0,Everyone,Business,2018-07-17,0.0,5.0 and up
O:FO+PE,BUSINESS,4.3,1002861,35.0,100000000.0,Free,0.0,Everyone,Business,2018-08-02,0.0,4.1 and up
USPS MOBILE®,BUSINESS,3.9,16589,9.1,1000000.0,Free,0.0,Everyone,Business,2018-06-14,0.0,4.0.3 and up
JSBZ,BUSINESS,4.8,148945,25.0,1000000.0,Free,0.0,Everyone,Business,2018-07-19,0.0,5.0 and up
CVACBFRM,BUSINESS,4.5,4458,3.9,500000.0,Free,0.0,Everyone,Business,2018-07-08,3.3,4.1 and up
Google Primer,BUSINESS,4.4,62272,18.0,10000000.0,Free,0.0,Everyone,Business,2018-06-26,0.0,4.1 and up
AH-AJPS,BUSINESS,4.0,8941,12.0,5000000.0,Free,0.0,Everyone,Business,2018-07-31,0.0,4.0.3 and up
SuperLivePro,BUSINESS,4.3,46353,21.0,1000000.0,Free,0.0,Everyone,Business,2016-04-13,2.8,1.5 and up
POFL,BUSINESS,4.2,30847,55.0,5000000.0,Free,0.0,Everyone,Business,2018-02-08,0.0,4.1 and up
Call Blocker,BUSINESS,4.6,188841,3.2,5000000.0,Free,0.0,Everyone,Business,2018-06-21,0.0,4.0 and up
Plugin:AOT v5.0,BUSINESS,3.1,4034,23.0,100000.0,Free,0.0,Everyone,Business,2015-09-11,0.0,2.2 and up
Kariyer.net,BUSINESS,3.9,45964,16.0,1000000.0,Free,0.0,Everyone,Business,2018-07-18,0.0,4.1 and up
BAJ-FAJOA,BUSINESS,4.1,6903,14.0,1000000.0,Free,0.0,Everyone,Business,2018-07-10,0.0,4.1 and up
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37.0,10000000.0,Free,0.0,Everyone,Business,2018-07-20,0.0,4.0 and up
ISPBS&T,BUSINESS,4.5,207372,11.0,5000000.0,Free,0.0,Everyone,Business,2018-08-02,0.0,4.0 and up
VED,BUSINESS,4.4,1225,25.0,100000.0,Free,0.0,Everyone,Business,2018-08-01,0.0,4.1 and up
M-SC,BUSINESS,4.4,380837,7.3,10000000.0,Free,0.0,Everyone,Business,2018-07-04,0.0,4.2 and up
JK-CJ,BUSINESS,4.3,10600,6.5,1000000.0,Free,0.0,Everyone,Business,2018-08-01,0.0,4.0 and up
1LFAJ-LFAJLFAJLFAPJHCRTR,BUSINESS,4.4,74359,25.0,1000000.0,Free,0.0,Everyone,Business,2018-07-27,0.0,4.0 and up
Myanmar 2D/3D,BUSINESS,4.6,822,3.1,100000.0,Free,0.0,Everyone,Business,2018-06-08,1.5,4.0.3 and up
sABN,BUSINESS,4.4,2287,1.5,1000000.0,Free,0.0,Everyone,Business,2018-03-26,4.9,2.2 and up
ACAT,BUSINESS,4.7,4162,7.5,100000.0,Free,0.0,Everyone,Business,2018-07-24,0.0,4.0.3 and up
Secure Folder,BUSINESS,3.8,14760,8.6,50000000.0,Free,0.0,Everyone,Business,2018-01-31,0.0,7.0 and up
TS-PSA,BUSINESS,4.7,286897,39.0,10000000.0,Free,0.0,Everyone,Business,2017-05-30,0.0,3.0 and up
FS:FPS,BUSINESS,4.5,103755,14.0,10000000.0,Free,0.0,Everyone,Business,2018-07-11,0.0,4.1 and up
MDS(L,BUSINESS,4.2,46505,19.0,1000000.0,Free,0.0,Everyone,Business,2018-08-02,0.0,4.1 and up
TSDARIP,BUSINESS,4.7,11442,6.8,100000.0,Paid,4.99,Everyone,Business,2018-03-25,0.0,4.0 and up
TSPPDS,BUSINESS,4.8,10295,39.0,100000.0,Paid,4.99,Everyone,Business,2017-04-11,0.0,3.0 and up
Zenefits,BUSINESS,4.2,296,14.0,50000.0,Free,0.0,Everyone,Business,2018-06-15,0.0,4.1 and up
Google Ads,BUSINESS,4.3,29313,20.0,5000000.0,Free,0.0,Everyone,Business,2018-07-30,0.0,4.0.3 and up
FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000.0,Free,0.0,Everyone,Business,2018-04-18,0.0,4.2 and up
Insightly CRM,BUSINESS,3.8,1383,51.0,100000.0,Free,0.0,Everyone,Business,2018-07-12,0.0,5.0 and up
QAI&E,BUSINESS,4.3,23175,41.0,1000000.0,Free,0.0,Everyone,Business,2018-07-13,18.7,4.1 and up
H-CBFT,BUSINESS,3.8,5868,20.0,500000.0,Free,0.0,Everyone,Business,2018-07-03,0.0,4.1 and up
M-EMA,BUSINESS,4.1,5448,12.0,500000.0,Free,0.0,Everyone,Business,2018-07-25,0.0,5.0 and up
C-FMAS,BUSINESS,4.6,4159,48.0,500000.0,Free,0.0,Everyone,Business,2018-07-20,0.0,4.0.3 and up
AOTP,BUSINESS,4.3,20815,10.0,1000000.0,Free,0.0,Everyone,Business,2018-07-26,0.0,5.0 and up
Google Analytics,BUSINESS,4.5,78662,22.0,1000000.0,Free,0.0,Everyone,Business,2018-02-13,0.0,4.4 and up
AdWords Express,BUSINESS,4.1,7149,11.0,1000000.0,Free,0.0,Everyone,Business,2018-07-31,0.0,4.0 and up
AA-ZB,BUSINESS,4.5,3079,8.5,100000.0,Free,0.0,Everyone,Business,2018-08-02,0.0,4.1 and up
I&TT-Z,BUSINESS,4.6,5800,8.6,100000.0,Free,0.0,Everyone,Business,2018-08-02,0.0,4.1 and up
I2—PIAE,BUSINESS,4.2,16422,28.0,1000000.0,Free,0.0,Everyone,Business,2018-08-01,0.0,4.1 and up
Cisco Webex Meetings,BUSINESS,4.4,108741,28.0,10000000.0,Free,0.0,Everyone,Business,2018-07-20,0.0,4.3 and up
SEPM,BUSINESS,4.0,624,9.0,100000.0,Free,0.0,Everyone,Business,2018-03-22,0.0,5.0 and up
Cisco Webex Teams,BUSINESS,4.2,1661,46.0,100000.0,Free,0.0,Everyone,Business,2018-08-02,0.0,4.4 and up
